,Laptop Models,Operating System,Screen Size,Screen Resolution,Touchscreen,Processor,Graphics Processor,RAM,Hard Drive Capacity,Weight,Webcam,Fingerprint Scanner,Price
1165,HP 14a-na0090nr (3G378UA) ( 4GB ) Laptop,Google Chrome,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Celeron Dual-Core,Intel UHD 600,4GB,,1.46 Kg,Yes,,"Rs. 49,299"
1166,Lenovo P15v (20TQS04M00) ( 16GB 1TB SSD 4GB Graphics Windows 10 Pro) Laptop,Windows 10 Professional,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (11th Gen),NVIDIA Quadro P620,16GB,1TB,2.70 Kg,Yes,Yes,"Rs. 1,58,990"
1167,Lenovo V15 (82KDA00YIH) ( 8GB 512GB SSD ) Laptop,DOS,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Integrated,8GB,512GB,1.70 Kg,Yes,,"Rs. 35,990"
1168,HP 14a-na0023cl (1G128UA) ( 4GB ) Laptop,Google Chrome,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Celeron Dual-Core,Intel UHD 600,4GB,,1.46 Kg,Yes,,"Rs. 36,470"
1169,Acer CB515-1HT-P39B (NX.GPTAA.002) (Intel Pentium Dual Core 4GB 32GB SSD ) Laptop,Google Chrome,15.6 inch(39.62 cm),1920 x 1080 pixels,Yes,Intel Pentium Quad-Core,Intel HD 505,4GB,32GB,1.95 Kg,Yes,No,"Rs. 54,301"
1170,Acer A515-56 (UN.A1ESI.018) (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.65 Kg,Yes,No,"Rs. 51,650"
1171,Asus 12 E210MA-GJ012W ( 4GB Windows 11 Pro) Laptop,Windows 11 Professional,11.6 inch(29.46 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD 600,4GB,,1.05 Kg,Yes,,"Rs. 17,790"
1172,Lenovo 5i (82R70068IN) (Intel Core i5 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1200 pixels,Yes,Intel Core i5 (12th Gen),Intel Iris Xe,8GB,512GB,1.5 Kg,Yes,Yes,"Rs. 70,990"
1173,Lenovo P14s (20Y2S0EX00) ( 8GB 512GB SSD ) Laptop,DOS,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7 Pro,AMD Integrated,8GB,512GB,1.47 Kg,Yes,No,"Rs. 79,999"
1174,HP 15-ew0043TU (7F692PA) (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,Yes,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.6 Kg,"Yes, 5 MP",,"Rs. 95,999"
1175,Asus OLED X1405ZA-KM311WS (Intel Core i3 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,Intel Core i3 (12th Gen),Intel UHD Graphics,8GB,512GB,1.60 Kg,Yes,Yes,"Rs. 51,400"
1176,Lenovo 3 14ITL6 (82H700KAIN) (Intel Core i3 (11th Gen) 8GB Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (11th Gen),Intel UHD,8GB,256GB,1.41 Kg,Yes,No,"Rs. 41,900"
